Oplot,Pplot,Pweed,Pinsect,Oweed,Oinsect,Family,weight,Dam,Leaves,%Dam,flower,pods,survive,fecundity,,Plot,#surv,insect,weed,#start,%survival
1,1,1,0,0,0,9,3.294,4,4,0.25,0,0,1,0,,3,7,0,0,30,0.233333333
1,1,1,0,0,0,20,4.27,3,7,0.107,1,0,1,1,,6,5,0,0,30,0.166666667
1,6,0,0,0,0,20,2.7862,5,6,0.208,0,0,1,0,,7,10,0,0,30,0.333333333
1,7,0,0,0,0,7,4.3014,8,11,0.182,0,0,1,0,,15,1,0,0,13,0.076923077
1,7,0,0,0,0,24,3.851,4,7,0.143,0,2,1,2,,16,1,0,0,30,0.033333333
1,8,1,0,0,0,10,3.0156,0,4,0,0,1,1,1,,20,9,0,0,30,0.3
1,9,0,1,0,0,8,2.9469,0,5,0,0,0,1,0,,1,18,0,1,30,0.6
1,10,1,0,0,0,30,2.7819,0,4,0,0,1,1,1,,2,16,0,1,30,0.533333333
1,11,0,1,0,0,10,3.8923,2,3,0.167,0,0,1,0,,8,17,0,1,30,0.566666667
1,11,0,1,0,0,3,2.5507,3,10,0.075,0,1,1,1,,10,18,0,1,30,0.6
1,13,1,1,0,0,28,2.9326,,,,,,0,,,14,15,0,1,30,0.5
1,13,1,1,0,0,22,1.8091,,,,,,0,,,21,2,0,1,30,0.066666667
1,14,1,0,0,0,23,3.9459,0,3,0,0,1,1,1,,4,20,1,0,30,0.666666667
1,18,0,1,0,0,6,3.1795,,,,,,0,,,9,20,1,0,30,0.666666667
1,22,1,1,0,0,12,4.1574,5,15,0.083,0,2,1,2,,11,23,1,0,30,0.766666667
1,22,1,1,0,0,20,3.9335,4,20,0.05,1,3,1,4,,12,27,1,0,30,0.9
1,24,1,1,0,0,17,3.6467,,,,,,0,,,18,24,1,0,30,0.8
2,4,0,1,0,1,28,2.2112,,,,,,0,,,19,28,1,0,30,0.933333333
2,7,0,0,0,1,7,3.4059,3,13,0.058,0,2,1,2,,5,29,1,1,30,0.966666667
2,7,0,0,0,1,4,3.469,,,,,,0,,,13,23,1,1,30,0.766666667
2,14,1,0,0,1,26,3.2342,1,13,0.019,1,3,1,4,,17,24,1,1,27,0.888888889
2,14,1,0,0,1,2,3.2925,1,7,,,,0,,,22,19,1,1,30,0.633333333
2,14,1,0,0,1,3,3.9955,,,,,,0,,,23,28,1,1,30,0.933333333
2,18,0,1,0,1,18,3.7406,0,8,,,,0,,,24,24,1,1,30,0.8
2,18,0,1,0,1,21,3.944,,,,,,0,,,,,,,,
2,19,0,1,0,1,23,2.8174,,7,0,1,0,1,1,,,,,,,
2,23,1,1,0,1,18,3.8229,0,11,0,1,1,1,2,,,,,,,
2,24,1,1,0,1,23,3.8542,0,13,0,2,1,1,3,,,,,,,
3,1,1,0,1,0,7,4.0804,1,9,0.028,0,3,1,3,,,,,,,
3,2,1,0,1,0,8,1.7301,,,,,,0,,,,,,,,
3,4,0,1,1,0,27,2.6625,1,5,0.05,0,1,1,1,,,,,,,
3,4,0,1,1,0,11,3.8343,6,7,0.214,1,1,1,2,,,,,,,
3,5,1,1,1,0,8,1.7258,1,3,0.083,1,2,1,3,,,,,,,
3,6,0,0,1,0,6,2.4158,,,,,,0,,,,,,,,
3,7,0,0,1,0,24,4.416,3,9,0.083,0,0,1,0,,,,,,,
3,7,0,0,1,0,7,3.5735,0,2,0,0,0,1,0,,,,,,,
3,7,0,0,1,0,12,2.3255,1,3,0.083,0,1,1,1,,,,,,,
3,7,0,0,1,0,4,3.4233,,,,,,0,,,,,,,,
3,9,0,1,1,0,18,4.385,0,5,0,0,2,1,2,,,,,,,
3,10,1,0,1,0,4,3.5907,2,4,0.125,0,0,1,0,,,,,,,
3,10,1,0,1,0,26,4.2476,3,2,0.375,0,2,1,2,,,,,,,
3,10,1,0,1,0,21,2.987,5,5,0.25,1,2,1,3,,,,,,,
3,10,1,0,1,0,9,2.6214,,,,,,0,,,,,,,,
3,10,1,0,1,0,29,2.688,,,,,,0,,,,,,,,
3,11,0,1,1,0,8,3.5704,1,4,0.063,0,1,1,1,,,,,,,
3,11,0,1,1,0,7,4.4744,1,3,0.083,0,2,1,2,,,,,,,
3,12,0,1,1,0,14,3.711,3,3,0.25,0,1,1,1,,,,,,,
3,12,0,1,1,0,3,3.1305,,,,,,0,,,,,,,,
3,12,0,1,1,0,21,4.3047,,,,,,0,,,,,,,,
3,13,1,1,1,0,24,2.9864,0,5,0,0,1,1,1,,,,,,,
3,13,1,1,1,0,21,4.5595,2,9,0.056,2,2,1,4,,,,,,,
3,13,1,1,1,0,4,2.8197,,,,,,0,,,,,,,,
3,14,1,0,1,0,2,3.68,5,11,0.114,0,3,1,3,,,,,,,
3,14,1,0,1,0,18,2.5486,,,,,,0,,,,,,,,
3,17,1,1,1,0,22,3.1792,0,1,0,0,0,1,0,,,,,,,
3,17,1,1,1,0,24,2.2491,0,3,0,0,1,1,1,,,,,,,
3,17,1,1,1,0,19,3.2398,,,,,,0,,,,,,,,
3,18,0,1,1,0,18,3.7336,,,,,,0,,,,,,,,
3,18,0,1,1,0,6,2.4964,,,,,,0,,,,,,,,
3,19,0,1,1,0,24,3.5401,0,6,0,0,3,1,3,,,,,,,
3,19,0,1,1,0,14,2.3577,8,23,0.087,4,11,1,15,,,,,,,
3,20,0,0,1,0,15,4.3043,,,,,,0,,,,,,,,
3,22,1,1,1,0,15,4.3131,0,3,0,0,1,1,1,,,,,,,
3,22,1,1,1,0,17,4.6993,,,,,,0,,,,,,,,
3,22,1,1,1,0,6,4.5589,,,,,,0,,,,,,,,
3,23,1,1,1,0,16,4.0857,8,7,0.286,0,2,1,2,,,,,,,
3,23,1,1,1,0,16,2.7267,,,,,,0,,,,,,,,
3,24,1,1,1,0,2,2.6635,,,,,,0,,,,,,,,
4,1,1,0,1,1,12,4.018,1,6,0.042,0,2,1,2,,,,,,,
4,1,1,0,1,1,7,4.3646,0,6,0,0,3,1,3,,,,,,,
4,1,1,0,1,1,26,2.4046,0,10,0,0,11,1,11,,,,,,,
4,2,1,0,1,1,16,3.7325,0,7,0,0,3,1,3,,,,,,,
4,4,0,1,1,1,26,4.2954,,,,,,0,,,,,,,,
